"","Drone4_1","Drone4_2","Drone4_3","Drone4_4","Drone4_5","Drone4_6","Queen4_1","Queen4_2","Queen4_3","Queen4_4","Queen4_5","Queen4_6","Worker4_1","Worker4_2","Worker4_3","Worker4_4","Worker4_5","Worker4_6"
"LOC725353",2.45733162548501,4.85454428577006,2.56437816856506,2.68818035858693,5.07925009345666,2.45811948117451,0.54399071966485,0.578214165472454,0.187767747046025,0.194087052116302,0.503857532577429,0.465713319595964,0.233888060174277,0.253384235800074,0.137503523749935,0.333423733725192,0.134878054343112,0.195347598322219
"LOC100576428",0.374065718222538,0.172487515510134,0.323081789503733,0.261831658752137,0.20163386116965,0.243669080966863,0.389566811762726,0.738983954700512,0.759581973233555,0.605968358841458,0.755314904045098,0.564622052436981,2.15607296095057,1.88791513563813,2.21256933885081,2.4070807754505,3.08099868569426,2.46414545669119
"LOC100578514",5.94159933535068,7.95194907605378,6.88085691469485,5.42095392611305,8.08360697027853,4.464798939984,7.28493974248679,2.70066165415274,2.01185340574379,5.14694027935802,4.34823241923927,6.83352263642478,4.29689785770008,3.55495715233255,4.44824022521607,4.95456857075299,4.30283081345382,4.22156778853841
"LOC100578296",1.48233202074738,1.81844157576416,1.08746284125034,1.90072192756411,2.27262045466299,0.992768430768924,0.954568570752994,1.54794331129035,2.28953940534605,1.36120689023873,1.6794237981126,1.94673086014031,2.37267355846876,2.49031340030211,2.33714017995587,3.16559041117842,2.98913900736823,2.51803149260217
"LOC409598",3.44055360843161,4.08270258933025,2.80776706176642,3.32322593648301,4.40299497537925,3.9585643149425,3.05606323201852,2.32998464975842,1.64154602908752,1.93092653106403,2.21412480535285,2.50131174924366,2.42867840994823,2.05137210172103,2.37323058358799,2.96180851473748,2.54151483946068,2.5842409728037
"LOC725272",7.7002732437242,7.81385813290079,7.15035658020834,6.98587608322743,7.18400252111014,7.08269194617956,6.36537759558284,5.79838755367592,6.36958862247276,6.02365456690624,6.38856841876287,6.38972167290902,7.51854300706195,7.9213649179195,8.07543636271703,8.29193962469221,8.32784901168561,8.00906718843588
"LOC411772",4.10089357213746,3.0923765997366,3.69209237542757,3.35318212035786,3.26198205698432,3.00306247423421,2.46832264394787,2.38874060478726,2.51172103270762,2.12068370880198,2.50054713742068,1.68795649404448,2.67559013963243,2.39725534559443,2.76913698304317,3.14192319772374,2.47066700762489,2.41953889151378
"LOC725233",3.8860623383456,3.04071712290735,4.00925758334744,3.40149394469764,2.88713530046191,3.20820508950445,4.35860724911781,4.64915556264865,3.39300425689832,3.3037807481771,3.76627711895158,3.81465295677914,2.37517847958961,2.82680268428583,2.04229412620617,2.69844075617584,3.28347734193776,3.51462727287942
"LOC102656563",3.24016165511367,3.67084033588156,2.44015490868031,3.14698099722323,3.13815914522947,3.36429227013537,1.16542962042419,1.52757083683282,0.685267406516842,0.811471030529836,1.298071734934,0.962734090595803,0.82130203988953,0.520045024039818,0.906890595608518,1.21225804420273,1.26843439357638,0.91456452349394
"LOC726286",6.32218054443083,6.84062688109332,5.92827556161193,5.89772447021644,6.415657274159,6.13817962860065,7.15368375553139,6.81712436712563,6.97668440265283,6.50747752951693,7.07094740551821,6.81361447015713,4.5923374306488,4.40231288230197,5.24891428303624,4.75542173473424,5.09305304801573,4.78445163455456
"LOC113218584",0.901494455047575,0.671746266863223,0.563646269484064,0.683471892855227,0.485426827170242,0.766383141001298,1.55188510347172,2.35811489773521,2.03913839390696,1.3595211704276,2.15639661659767,1.90881290773955,1.23388806017428,0.817213924258327,0.626672752605993,0.556797246592743,1.16285452819051,1.1525079483649
"LOC551496",2.14045147695366,1.36176835941915,1.98221784631558,1.57918014812715,1.38239058287347,2.01042180548651,4.28221737855362,5.59490679026094,4.534746421104,4.01524777369894,5.21007709890321,4.8923910259134,4.6540344818771,4.94635657163363,5.95733424742805,5.09246117311886,5.61679876674878,5.30092906550743
"LOC410405",3.4988890869768,3.51903860960006,3.45167270039518,2.71655198504929,3.09592441999854,2.86433474078243,5.81902945543852,5.03869955130559,3.73248629302994,4.17783808308558,4.35769274848834,5.16743821797094,6.21692042585688,6.72231573591,6.6435676219088,5.97243993050953,5.92718535782637,5.92390979472
"LOC102653583",0.743299527888257,0.975263321678493,1.39725534559443,0.978927776381399,0.935836873684025,1.4838802538141,1.56851859779254,2.16832111573972,1.54349588342577,1.38460245765075,1.8543946777531,1.69688409085545,1.09288396567848,0.839153387389821,0.82781902461732,0.487486349348536,1.25459404303314,1.31788288282941
"LOC410837",7.17617314910749,7.5556244577174,7.5057321737418,7.68678763694594,7.63215186443361,8.05255718300397,8.33028500062586,9.16464802262836,8.93248938424844,8.61484969042775,8.93268425286543,9.06698790328277,9.05742590212941,9.52043403520249,9.16905310977797,8.30076894828692,8.07614218222273,8.43960236126926
"LOC410465",1.72944400683366,1.22958792274065,1.67762099245359,1.45575462218619,1.33628338786443,1.96051171011902,4.60181534972849,4.1036654827657,3.69320814891002,3.92751724619848,4.42532501937959,4.13331691822946,3.96689184920312,3.88723280291461,4.449957483628,4.08576455377831,4.10576187512634,3.62830700559833
"LOC410222",5.57860667393575,5.19939751960629,5.39629651666892,5.40040130426606,5.26299683516123,5.31168474875621,6.30717348079912,6.66837445638894,5.93715603846619,5.95275289351721,6.28538372265341,6.59158966453542,6.20459070608324,6.45872649308966,6.42539216363488,7.20279969915775,7.29298415397593,7.21430940564993
"LOC107963995",0.899175630480513,1.56949109195872,1.38017531174203,0.620117165028684,1.7553149040451,1.2904244038653,0.918386234446348,1.05588975819628,0.94185751900344,0.589763486984977,0.876566058751721,0.465713319595964,0.442545456105304,0.815575428862573,0.815575428862573,0.684369929013007,0.598365205323645,0.537047519404657
